"SEG Plaza, Shenzhen",http://t3.gstatic.com/images?q=tbn:ANd9GcTd6USEaIRjJ3R0aeyJ-gjQa7ycPJz7KF3_Tcv78IEEa14TnwHOWQ
"The Arch, Hong Kong, China",http://t3.gstatic.com/images?q=tbn:ANd9GcRCYBraitOhlCatw96MJ10rLpUt8mXzf0sNnWv3ctVFFxOaCEcb
"Grand Gateway: Office Tower One, Shanghai, China",http://t1.gstatic.com/images?q=tbn:ANd9GcT4zZigiLEA__XbQPEyjODv6HPxFSUv-Sy90l7FOWDm3KmOPkMY
"Shenzhen Special Zone Daily Tower, Shenzhen",http://t2.gstatic.com/images?q=tbn:ANd9GcRbtJgZt_WFKdJP91gGrNIkA7kuC53NjaPUr5q3sqRxGy60wdBr
"International Commerce Centre (ICC), Hong Kong, China",http://t3.gstatic.com/images?q=tbn:ANd9GcSvfiTFQMJClEL0Nmk7lQx6EaNOSsGmcDC3P5yYp2ibq2FIRqBsE1EVt54G
"CITIC Plaza, China International Trust, Guanzhou",http://t2.gstatic.com/images?q=tbn:ANd9GcSwuDK2g8CVMoXRXdVKkLDd5DNe988o-79sGVS79vXOsmKGm_rD2w
"Shun Hing Square, Shenzhen, China",http://t3.gstatic.com/images?q=tbn:ANd9GcR5iL-x-YBibVjSrXQlnIxhVSRc4cQ781WG3Ngn9hjPkCFGcW3D
"Langham Place Office Tower, Hong Kong",http://t3.gstatic.com/images?q=tbn:ANd9GcS2DF6GMr37nvXg7I75if02n8sAKfQfOcEdR03hohJrYjF-pfNJPg
"Wenzhou Trade Center, Zhejiang, China",http://t0.gstatic.com/images?q=tbn:ANd9GcTrHyKjr3ljyF1V2eQirN7vqur7hJo1ontOQN_mbGGmW_WI-vYj
"Highcliff, Hong Kong",http://t1.gstatic.com/images?q=tbn:ANd9GcQL81groP_Fubcl5wvDYKFCSK33Z1d1PjEjjcy1WIcpFfmJmoy5
"Central Plaza, Hong Kong",http://t1.gstatic.com/images?q=tbn:ANd9GcQhnBmz-POIwdS4Q7bX_Zg6qdxEtnqIyaSeQGQCLGkCXdnnFX82Xw
"Guangzhou International Finance Center, Guangzhou, China",http://t1.gstatic.com/images?q=tbn:ANd9GcTMI6bJ2lQDGYdh3byOP6pLPwhAauRLT63iR1dIShpLcYmzjGThBQ
"Bank of America Tower, New York City USA",http://t0.gstatic.com/images?q=tbn:ANd9GcTxThS_MecpiRrWTx6F7pR1Io9lzE1GkjKk0KIYuPHlsFvrWO4Q
"Two Pacific Place/Shangri-La      Hotel, Hong Kong",http://t0.gstatic.com/images?q=tbn:ANd9GcR2zVdg8PAto0u5WbzpRAhovMhjqqQPGivh-m0vZnD-2T4Ophm9
"T & C Tower (Tuntex Sky Tower), Kaoshiung, Taiwan",http://t3.gstatic.com/images?q=tbn:ANd9GcT8eZ12n4RtpLynzVCQPNiVAMz1iFdm5SwEuBDpfF7Vd0_xmWGhZg
"The Pinnacle, Guangzhou, China",http://t1.gstatic.com/images?q=tbn:ANd9GcTdAVaoViQ2belVnZJgRCKqxoGq8ZyULicEa8j7phKsaHX5CbXh
"Sorrento 1, Hong Kong",http://t1.gstatic.com/images?q=tbn:ANd9GcTA3BOTqpq1NUeQo8PuU_AksyspUtTfNUTNGgY07GqNwBJ_krhu
"Jin Mao Building, Shanghai",http://t1.gstatic.com/images?q=tbn:ANd9GcQW0R4GAdEQA0mwfFG0eLoqZwkOxuBztkmuGT3tZh1U4QdDIudp6g
"KK100 (Kingkey 100, Kingkey Finance Center Plaza), Shenzhen, China",http://t2.gstatic.com/images?q=tbn:ANd9GcSlzgpWxj-10yhH4Qjmf_IZXKcvxyPYClEu2j6H1QWIlp4KyeQHiA
"Sunjoy Tomorrow Square, Shanghai",http://t2.gstatic.com/images?q=tbn:ANd9GcRos-SUeqyrnKAcvCDYWSbYILQZoUkM0FdIUojGsdA1WQz0FxdvwQ
"The Harbourside, Hong Kong",http://t3.gstatic.com/images?q=tbn:ANd9GcTX8QzhtBRI3tUjzY1hwJdeklF0t-TNOZfaevVhrEJNDKClHAe9
"China World Tower (China World Trade Center), Beijing, China",http://t1.gstatic.com/images?q=tbn:ANd9GcTpwSgAePVBK_G4XOFqGjiSLwokRb5ICqGRJgf8hcQpxZv4YaLx
"Messeturm, Frankfurt",http://t2.gstatic.com/images?q=tbn:ANd9GcSEnFtpaEZU06pTLFUH57LeHYj-AMJANR8vefQBj2-ozHYEQYefKQ
"Commerzbank Tower, Frankfurt",http://t0.gstatic.com/images?q=tbn:ANd9GcT5rCAjS73xohsqjEwiP-nYJUwbrgkqHIVBrBJGR8CXrTkogjRp
"Millenium Tower Frankfurt Germany (proposed)",http://t2.gstatic.com/images?q=tbn:ANd9GcTMg1TmHLEZohoBVSHJT4DK50I8ELia0fLAOMvadmanDNNRDii51g
"Wisma 46,Jakarta",http://t2.gstatic.com/images?q=tbn:ANd9GcRx92w6vi7_B7eDcB8pG3RS55iysVjaIzGmStIeUVnmLFgfDTCVNA
"Tokyo City Hall, Tokyo",http://t3.gstatic.com/images?q=tbn:ANd9GcR58AZb_woZsqacJh_Tt78OkvciRkAGQ226qR5I9Yfi53EnL2VM
"JR Central Towers, Nagoya",http://t1.gstatic.com/images?q=tbn:ANd9GcSzgmEir6HKa4H_-An121L31QreYMwAyp8boBq2XHaJcmpGWsMWDQ
"Landmark Tower, Yokohama, Japan",http://t1.gstatic.com/images?q=tbn:ANd9GcQ5vqVuGCfabuZOzUyzlxuuA6bCeGb3GPvsgkbFo8B7iN7vctifdg
"Shinjuku Park Tower, Tokyo",http://t0.gstatic.com/images?q=tbn:ANd9GcSD-fRkWb9PZXiFdopGDOh2xJusxUCCPa9QndJN96dyVteKyu8V
"World Trade Center, Osaka",http://t0.gstatic.com/images?q=tbn:ANd9GcQ3WSCDlY9FUPUEkS_Qu46IWfQAsir4x__w0U0CKKCaS1LvAulKyA
"Rinku Gate Tower, Osaka",http://t2.gstatic.com/images?q=tbn:ANd9GcQZ0acVzKilWKGdEGX0qDJf1pZvDL4kuhk9Ism3qwGmLTw9jFtSvQ
